ID,JJ,n,age,adjhlg,adjhlgSE,method,sex,yr
14D,12,2,8,25.927585999831113,5.666578969293531,mixed,female,1976
14D,114,2,8,27.090321738981363,4.8307211068086255,mixed,female,1976
14E,12,2,3,19.6643358182409,5.753212208624819,mixed,female,1976
14E,114,2,3,21.75834489321588,4.905924874924531,mixed,female,1976
18F,114,2,6,25.031198348411962,4.814761026489207,mixed,female,1976
18F,12,2,6,23.508819879317524,5.653446403782589,mixed,female,1976
19E,114,2,2,17.038416022295426,4.640008866982583,mixed,female,1976
19E,12,2,2,14.12003279273867,5.448129064886845,mixed,female,1976
21D,12,3,3,19.95169057983546,5.444429441405249,mixed,female,1976
21D,114,3,3,22.00297330353329,4.607910613440802,mixed,female,1976
24D,12,2,3,16.70783239669861,5.669237817272124,mixed,female,1976
24D,114,2,3,19.24143955955611,4.845385247252535,mixed,female,1976
27B,114,2,5,28.588522465273854,4.7243345324880055,mixed,female,1976
27B,12,2,5,27.687459728176776,5.508712933271563,mixed,female,1976
27D,114,2,3,19.02675372152228,4.771425950023917,mixed,female,1976
27D,12,2,3,16.45564992236583,5.590180506214249,mixed,female,1976
28D,12,2,7,24.14989645818083,5.686265200620157,mixed,female,1976
28D,114,2,7,25.576954206114877,4.85054780488874,mixed,female,1976
2E,12,3,3,20.37168083960247,5.727912596876492,mixed,female,1976
2E,114,3,3,22.360515837457132,4.874790537867455,mixed,female,1976
32D,114,3,13,34.4093186503806,4.717186089158886,mixed,female,1976
32D,12,3,13,34.52490554197897,5.538104699565294,mixed,female,1976
34C,114,2,7,22.1062741002074,4.722402307651826,mixed,female,1976
34C,12,2,7,20.073033704954497,5.508705683313531,mixed,female,1976
3E,12,3,3,17.372865883757655,5.398461946526764,mixed,female,1976
3E,114,3,3,19.807590208476416,4.606083859970379,mixed,female,1976
4D,12,3,8,28.22187991339188,5.556616329539506,mixed,female,1976
4D,114,3,8,29.04348050955769,4.745848526091039,mixed,female,1976
10F,12,2,2,17.800610695069516,3.5514505637980123,mixed,female,1977
10F,114,2,2,22.070131088120526,2.4739738702647576,mixed,female,1977
