"ID","Age","Sex","Year","date","wt","hlg","RS","sq.date","GR","Y.int","wtd12","wtd114","Notes","R.LX","L.LX","Hbase","AgeClass","max_hlg","min_hlg","Reproduction","LambID","Lamb_Sex","density","mu","sd","cohort","age_class","age_scaled","density_scaled","hlg_scaled","mu_scaled"
"3E",2,2,1975,11,40,NA,0,3.3166247903554,1.85144964268258,33.8594362169843,40.2728577792368,53.6273640519062,NA,NA,NA,NA,"Ewe",19.5,18,0,NA,NA,28,-1.4020486792534,1.14659182469052,1973,"tite jeune",-1.18643784315951,-0.878004333789828,NA,-1.53175543169212
"3E",2,2,1975,76,50,NA,0,8.71779788708135,NA,NA,NA,NA,NA,NA,NA,NA,"Ewe",19.5,18,0,NA,NA,28,-1.4027081461566,1.14632220004296,1973,"tite jeune",-1.18643784315951,-0.878004333789828,NA,-1.53255719044363
"14E",2,2,1975,11,40.9,NA,0,3.3166247903554,2.35134104620687,33.1014839955701,41.2465293796307,58.2067523459209,NA,NA,NA,NA,"Ewe",27.2,19.8,0,NA,NA,28,0.327236414370892,0.999106123993491,1973,"tite jeune",-1.18643784315951,-0.878004333789828,NA,0.570654031037394
"14E",2,2,1975,76,53.6,NA,0,8.71779788708135,NA,NA,NA,NA,NA,NA,NA,NA,"Ewe",27.2,19.8,0,NA,NA,28,0.327236414370892,0.999106123993491,1973,"tite jeune",-1.18643784315951,-0.878004333789828,NA,0.570654031037394
"2E",2,2,1975,13,42.3,NA,0,3.60555127546399,2.38642634576275,33.6956174452343,41.9621983069564,59.1754915389431,NA,NA,NA,NA,"Ewe",22.8,20.5,0,NA,NA,28,0.163305276735924,1.15464801310699,1973,"tite jeune",-1.18643784315951,-0.878004333789828,NA,0.371351801306469
"2E",2,2,1975,76,54.5,NA,0,8.71779788708135,NA,NA,NA,NA,NA,NA,NA,NA,"Ewe",22.8,20.5,0,NA,NA,28,0.163305276735924,1.15464801310699,1973,"tite jeune",-1.18643784315951,-0.878004333789828,NA,0.371351801306469
"24D",2,2,1975,15,45.4,13.9,0,3.87298334620742,2.82776562124682,34.4481108419332,44.2434909539322,64.6401643799855,NA,NA,NA,NA,"Ewe",18,13.9,0,NA,NA,28,-0.85205916970657,1.19787303123535,1973,"tite jeune",-1.18643784315951,-0.878004333789828,-2.13395673023973,-0.863095791048486
"24D",2,2,1975,76,59.1,17.8,0,8.71779788708135,NA,NA,NA,NA,NA,NA,NA,NA,"Ewe",18,13.9,0,NA,NA,28,-0.85205916970657,1.19787303123535,1973,"tite jeune",-1.18643784315951,-0.878004333789828,-1.20503202239158,-0.863095791048486
"27D",2,2,1975,18,41.8,NA,0,4.24264068711928,NA,NA,NA,NA,NA,NA,NA,NA,"Ewe",21.6,16.5,0,NA,NA,28,-0.371358177274767,1.11124728887879,1973,"tite jeune",-1.18643784315951,-0.878004333789828,NA,-0.278674911600562
"21D",2,2,1975,28,43.6,NA,0,5.29150262212918,NA,NA,NA,NA,NA,NA,NA,NA,"Ewe",25.5,20.6,3,"24F",2,28,0.038219162170432,0.961589530906294,1973,"tite jeune",-1.18643784315951,-0.878004333789828,NA,0.219276107201345
