ID;Year;Reproduction;LambID;Lamb_Sex
38C;1972;4;NA;0
38C;1973;4;NA;0
32D;1973;4;NA;0
32D;1975;4;NA;0
32D;1976;4;NA;0
32D;1977;5;5H;1
32B;1970;4;NA;1
32B;1971;5;33B;1
32B;1973;4;NA;0
32B;1975;4;NA;0
32B;1976;5;17G;1
32B;1977;5;10H;2
32B;1978;5;22I;2
32B;1979;0;NA;NA
32B;1980;0;NA;NA
32B;1981;0;NA;NA
32B;1982;0;NA;NA
17B;1971;4;NA;0
17B;1972;5;22C;1
1B;1971;0;NA;NA
1B;1972;3;42C;2
30B;1971;5;31B;1
30B;1973;3;19D;2
13F;1975;5;10F;2
22B;1971;1;NA;0
22D;1973;4;NA;0
22D;1974;5;8E;2
23B;1971;4;NA;2
23C;1972;4;NA;0
23C;1973;5;16D;1
24B;1971;4;NA;0
24C;1972;4;NA;0
25C;1972;4;NA;0
25C;1973;4;NA;0
25C;1975;5;8F;2
29C;1972;3;30C;1
4C;1972;0;NA;NA
4C;1975;5;19F;2
13B;1971;0;NA;NA
13B;1972;5;41C;2
13D;1974;5;18E;2
13D;1975;0;NA;NA
14D;1973;4;NA;0
14D;1974;4;NA;0
14D;1975;3;6F;1
14D;1976;4;NA;0
14D;1977;1;NA;0
14D;1978;5;6I;2
14D;1979;5;6J;2
4D;1973;4;NA;0
4D;1974;0;NA;NA
4D;1975;3;7F;2
4D;1976;5;8G;2
7D;1973;5;24D;2
8C;1972;5;21C;2
11B;1975;5;9F;1
12F;1975;1;NA;0
12F;1976;0;NA;NA
12F;1977;0;NA;NA
12F;1978;0;NA;NA
15C;1972;4;NA;0
18C;1972;4;NA;0
18C;1974;3;11E;1
26B;1973;0;NA;NA
26B;1974;5;16E;1
28D;1973;4;NA;0
28D;1975;4;NA;0
28D;1976;3;16G;2
34C;1972;4;NA;0
34C;1973;4;NA;0
34C;1974;5;20E;1
34C;1975;3;25F;2
34C;1976;5;12G;1
35C;1972;5;26C;1
35C;1973;5;18D;1
3A;1973;4;NA;0
3A;1974;3;17E;1
4A;1972;4;NA;0
4A;1974;3;22E;1
4B;1972;4;NA;0
5D;1973;0;NA;NA
5D;1975;3;15F;1
9B;1972;4;NA;1
18F;1975;1;NA;0
18F;1976;5;21G;2
18F;1977;5;7H;2
31D;1975;5;11F;2
5C;1973;4;NA;0
5C;1975;4;NA;0
5C;1976;4;NA;0
6D;1973;3;8D;2
10E;1974;0;NA;NA
10E;1976;4;NA;0
10E;1977;4;NA;0
10E;1978;5;4I;1
10E;1979;5;8J;2
10E;1980;3;18K;1
10E;1981;1;NA;0
12E;1974;4;NA;0
12E;1975;4;NA;0
12E;1976;5;19G;2
12E;1977;0;NA;NA
12E;1978;1;NA;0
12E;1979;1;NA;0
14C;1974;5;19E;2
19C;1975;5;20F;1
27B;1975;4;NA;0
27B;1976;5;20G;1
27B;1977;5;15H;2
27C;1975;4;NA;0
27C;1976;5;5G;2
27C;1977;1;NA;0
27C;1978;5;NA;2
27C;1979;1;NA;0
27C;1980;5;NA;0
27C;1981;5;12L;2
27C;1982;5;14M;1
27C;1983;5;5N;2
27C;1984;4;NA;0
27C;1985;0;NA;NA
33C;1976;5;6G;2
33D;1975;1;NA;0
33D;1976;5;13G;2
33D;1977;5;4H;1
7E;1974;3;21E;1
1D;1975;5;16F;2
21C;1976;5;15G;1
21C;1977;1;NA;0
21C;1978;5;NA;1
21C;1979;5;21J;1
4E;1975;0;NA;NA
4E;1976;5;23G;2
4E;1977;5;6H;1
9D;1975;3;17F;1
9D;1976;1;NA;0
9D;1977;4;NA;0
9D;1978;3;13I;1
9D;1979;5;5J;2
14E;1975;0;NA;NA
14E;1976;4;NA;0
14E;1977;3;14H;1
