Year.x;Id;Sex.x;Sire;Age_Sire;Dam;Age_Dam
1968;10B;M;NA;NA;NA;NA
1967;10C;M;NA;NA;NA;NA
1972;10D;M;NA;NA;NA;NA
1971;10E;F;NA;NA;NA;NA
1975;10F;F;NA;NA;13F;8
1970;10G;M;NA;NA;NA;NA
1977;10H;F;NA;NA;32B;13
1978;10I;M;NA;NA;19F;3
1979;10J;M;NA;NA;10F;4
1980;10K;M;NA;NA;8H;4
1981;10L;F;Z07;NA;11I;3
1982;10M;M;NA;NA;15I;5
1983;10N;M;NA;NA;NA;NA
1984;10P;F;Z09;NA;18M;3
1985;10Q;M;NA;NA;5K;5
1986;10R;F;NA;NA;14E;13
1987;10S;M;28M;4;4M;5
1988;10T;F;Z20;NA;16K;8
1989;10U;M;16P;5;2Q;5
1990;10V;F;28M;7;7G;15
1991;10W;M;NA;NA;31T;3
1992;10X;F;8QR;6;10P;8
1993;10Y;F;Z30;NA;6R;7
1994;10Z;M;16T;6;1QR;9
1969;11B;F;NA;NA;NA;NA
1970;11C;M;NA;NA;NA;NA
1971;11D;M;NA;NA;NA;NA
1974;11E;M;NA;NA;18C;5
1975;11F;F;NA;NA;31D;5
1971;11G;M;NA;NA;NA;NA
1977;11H;M;NA;NA;3E;4
1978;11I;F;Z03;NA;14E;5
1979;11J;M;NA;NA;21D;6
1980;11K;M;NA;NA;10H;3
1981;11L;M;NA;NA;8E;7
1978;11M;M;NA;NA;NA;NA
1983;11N;F;NA;NA;6L;3
1984;11P;F;NA;NA;8K;4
1985;11Q;F;NA;NA;6J;6
1985;11QR;M;NA;NA;NA;NA
1986;11R;M;NA;NA;NA;NA
1986;11S;M;NA;NA;NA;NA
1988;11T;F;Z20;NA;20L;7
1989;11U;F;NA;NA;26I;11
1990;11V;F;Z33;NA;NA;NA
1991;11W;F;NA;NA;30T;3
1992;11X;F;Z28;NA;25S;5
1993;11Y;F;6Q;8;5U;4
1994;11Z;F;NA;NA;20M;12
1969;12B;M;NA;NA;NA;NA
1966;12C;M;NA;NA;NA;NA
1971;12E;F;NA;NA;NA;NA
1969;12F;F;NA;NA;NA;NA
1976;12G;M;NA;NA;34C;7
1977;12H;F;NA;NA;10F;2
1978;12I;F;NA;NA;8E;4
1979;12J;M;NA;NA;18G;3
1980;12K;M;NA;NA;2I;3
1981;12L;F;Z06;NA;27C;10
1981;12M;M;NA;NA;NA;NA
1983;12N;M;Z17;NA;5J;4
1984;12P;F;Z14;NA;22J;5
1985;12Q;M;NA;NA;18M;4
1986;12R;M;3L;5;5K;6
1987;12S;M;NA;NA;19P;3
1988;12T;F;3L;7;8K;8
1989;12U;M;3L;8;4Q;5
1990;12V;M;Z35;NA;NA;NA
1991;12W;M;Z37;NA;3M;9
1992;12X;F;Z29;NA;37T;4
1993;12Y;F;NA;NA;19U;4
1994;12Z;M;NA;NA;12P;10
1968;13B;F;NA;NA;NA;NA
1968;13C;M;NA;NA;NA;NA
1968;13D;F;NA;NA;NA;NA
1971;13E;M;NA;NA;NA;NA
1967;13F;F;NA;NA;NA;NA
1976;13G;F;NA;NA;33D;5
1977;13H;M;NA;NA;2F;3
1978;13I;M;NA;NA;9D;6
1979;13J;F;NA;NA;8H;3
1980;13K;F;NA;NA;8E;6
1981;13L;M;NA;NA;6J;2
1980;13M;M;NA;NA;NA;NA
1983;13N;F;NA;NA;16K;3
1984;13P;M;NA;NA;NA;NA
1985;13Q;M;Z19;NA;26M;3
1986;13R;M;NA;NA;NA;NA
1987;13S;F;NA;NA;17K;7
1988;13T;M;NA;NA;NA;NA
1989;13U;F;Z20;NA;18R;3
1990;13V;M;31Q;4;19P;6
1991;13W;M;NA;NA;17Q;6
1992;13X;F;29Q;6;3S;6
1993;13Y;F;29Q;7;9T;5
1994;13Z;F;NA;NA;31U;5
1968;14B;M;NA;NA;NA;NA
1971;14C;F;NA;NA;NA;NA
1968;14D;F;NA;NA;NA;NA
1973;14E;F;NA;NA;NA;NA
1974;14F;F;NA;NA;NA;NA
1976;14G;F;NA;NA;2E;3
1977;14H;M;NA;NA;14E;4
1978;14I;F;NA;NA;10F;3
1979;14J;F;NA;NA;3H;3
1980;14K;F;Z03;NA;7H;3
1981;14L;M;Z04;NA;21D;8
1982;14M;M;NA;NA;27C;11
1983;14N;F;Z05;NA;1I;5
1984;14P;F;NA;NA;5J;5
1985;14Q;F;3L;4;22J;6
1986;14R;F;Z22;NA;26M;4
1986;14S;M;Z25;NA;18M;5
1987;14T;M;NA;NA;NA;NA
1989;14U;F;33M;6;4M;7
1990;14V;M;29Q;4;20M;8
1991;14W;M;NA;NA;6S;4
1992;14X;M;Z31;NA;26S;5
1993;14Y;M;NA;NA;2U;4
1994;14Z;F;18T;6;3QR;9
1969;15B;M;NA;NA;NA;NA
1969;15E;M;NA;NA;NA;NA
1975;15F;M;NA;NA;5D;6
1976;15G;M;NA;NA;21C;4
1977;15H;F;NA;NA;27B;6
1977;15I;F;NA;NA;NA;NA
1979;15J;F;NA;NA;14G;3
1980;15K;M;NA;NA;19F;5
1981;15L;M;NA;NA;26I;3
1982;15M;F;Z13;NA;22J;3
1983;15N;M;NA;NA;21I;5
1984;15P;F;NA;NA;10L;3
1985;15Q;M;NA;NA;14E;12
1986;15R;F;Z21;NA;15M;4
1987;15S;M;NA;NA;NA;NA
1987;15T;F;Z20;NA;25P;3
1989;15U;M;3L;8;16M;7
1990;15V;F;3L;9;4Q;6
1991;15W;M;12N;7;9T;3
1993;15Y;F;21S;5;16U;4
1994;15Z;F;Z29;NA;28U;5
1970;16B;M;NA;NA;NA;NA
1969;16C;M;NA;NA;NA;NA
1973;16D;M;NA;NA;23C;6
1974;16E;M;NA;NA;26B;5
1975;16F;F;NA;NA;1D;3
1976;16G;F;NA;NA;28D;7
1978;16I;M;NA;NA;27D;5
1979;16J;M;NA;NA;21G;3
1980;16K;F;Z02;NA;4J;2
1981;16L;F;NA;NA;8I;3
1982;16M;F;NA;NA;1J;4
1983;16N;M;NA;NA;2K;3
1983;16P;M;NA;NA;NA;NA
1985;16Q;M;NA;NA;12L;4
1986;16R;M;NA;NA;1P;3
1987;16S;M;Z20;NA;3M;5
1987;16T;M;Z22;NA;3J;8
1989;16U;F;12Q;3;19P;5
1990;16V;M;33M;7;14N;7
1991;16W;M;NA;NA;17U;3
1991;16X;M;NA;NA;NA;NA
1993;16Y;F;NA;NA;20R;7
1965;17B;F;NA;NA;NA;NA
1971;17C;M;NA;NA;NA;NA
1973;17D;F;NA;NA;NA;NA
1974;17E;F;NA;NA;3A;5
1975;17F;M;NA;NA;9D;3
1976;17G;M;NA;NA;32B;12
1978;17I;M;NA;NA;2G;3
1979;17J;M;NA;NA;5G;3
1980;17K;F;NA;NA;19G;4
1981;17L;M;Z02;NA;14I;3
1982;17M;M;NA;NA;9J;3
1983;17N;F;NA;NA;15I;6
1984;17P;M;NA;NA;NA;NA
1985;17Q;F;Z17;NA;17K;5
1986;17R;M;Z22;NA;11F;11
1986;17S;M;NA;NA;NA;NA
1988;17T;M;NA;NA;2S;2
1988;17U;F;NA;NA;32M;6
1990;17V;F;33M;6;14Q;5
1991;17W;F;NA;NA;24T;4
1992;17X;F;Z28;NA;1J;14
1993;17Y;F;Z29;NA;6S;6
1966;18B;M;NA;NA;NA;NA
1969;18C;F;NA;NA;NA;NA
1973;18D;M;NA;NA;35C;4
1974;18E;F;NA;NA;13D;6
1970;18F;F;NA;NA;NA;NA
1976;18G;F;NA;NA;3E;3
1978;18I;M;NA;NA;11F;3
1979;18J;M;NA;NA;13G;3
1980;18K;M;NA;NA;10E;9
1981;18L;M;NA;NA;22J;2
1981;18M;F;Z07;NA;NA;NA
1983;18N;M;NA;NA;5I;6
1984;18P;M;Z20;NA;12L;3
1985;18Q;F;NA;NA;2P;2
1986;18R;F;Z11;NA;12L;5
1986;18S;M;3L;5;NA;NA
1987;18T;M;8L;5;5J;8
1989;18U;M;NA;NA;1QR;4
1990;18V;M;20Q;4;5I;13
1991;18W;M;29Q;5;20R;5
1992;18X;F;Z31;NA;11I;14
1993;18Y;F;5R;6;2N;10
1968;19B;M;NA;NA;NA;NA
1971;19C;F;NA;NA;NA;NA
1973;19D;F;NA;NA;30B;7
1974;19E;F;NA;NA;14C;3
1975;19F;F;NA;NA;4C;8
1976;19G;F;NA;NA;12E;5
1978;19I;M;NA;NA;21G;2
1979;19J;M;NA;NA;4F;5
1980;19K;M;NA;NA;21I;2
1981;19L;M;NA;NA;1I;3
1982;19M;F;Z13;NA;14E;9
1983;19N;M;NA;NA;11F;8
1984;19P;F;NA;NA;7G;9
1985;19Q;M;NA;NA;16L;4
1985;19R;M;NA;NA;NA;NA
1987;19S;F;3L;6;11I;9
1987;19T;M;33M;4;21D;14
1989;19U;F;33M;6;16K;9
1990;19V;M;Z29;NA;26S;3
1991;19W;F;29Q;5;20M;9
1992;19X;M;32U;2;8M;11
